Time,EMG,ECG,GSR
yyyy/mm/dd hh:mm:ss.000,mV,mV,kOhms
36:00.8,-1.98484756,-1.461544807,1260.348088
36:00.8,-1.972538428,-1.459741766,1260.348088
36:00.8,-1.972538428,-1.463708456,1259.624476
36:00.8,-1.981770277,-1.458659942,1260.348088
36:00.8,-1.981770277,-1.465150889,1259.624476
36:00.8,-1.975615711,-1.465150889,1259.624476
36:00.8,-1.975615711,-1.465150889,1260.348088
36:00.8,-1.975615711,-1.465150889,1259.624476
36:00.8,-1.975615711,-1.465150889,1259.624476
36:00.8,-1.972538428,-1.468035754,1260.348088
36:00.8,-1.972538428,-1.468035754,1259.624476
36:00.8,-1.960229296,-1.468035754,1259.624476
36:00.8,-1.960229296,-1.468035754,1259.624476
36:00.8,-1.95407473,-1.468035754,1259.624476
36:00.9,-1.95407473,-1.468035754,1260.348088
36:00.9,-1.960229296,-1.468035754,1260.348088
36:00.9,-1.960229296,-1.466953929,1259.624476
36:00.9,-1.972538428,-1.46479028,1260.348088
36:00.9,-1.972538428,-1.47272366,1260.348088
36:00.9,-1.98484756,-1.46479028,1260.348088
36:00.9,-1.98484756,-1.460462983,1259.624476
36:00.9,-1.994079409,-1.462626632,1260.348088
36:00.9,-1.994079409,-1.462626632,1260.348088
36:00.9,-1.987924843,-1.45902055,1261.072532
36:00.9,-1.987924843,-1.460462983,1260.348088
36:00.9,-1.972538428,-1.463708456,1260.348088
36:00.9,-1.972538428,-1.46479028,1260.348088
36:00.9,-1.972538428,-1.466593321,1260.348088
36:00.9,-1.966383862,-1.467314537,1260.348088
36:00.9,-1.966383862,-1.462626632,1261.072532
36:00.9,-1.972538428,-1.461544807,1260.348088
36:00.9,-1.972538428,-1.465150889,1260.348088
36:00.9,-1.978692994,-1.468035754,1260.348088
36:00.9,-1.978692994,-1.467314537,1261.072532
36:00.9,-1.98484756,-1.464069064,1261.072532
36:00.9,-1.98484756,-1.46298724,1261.072532
36:00.9,-1.991002126,-1.46298724,1260.348088
36:00.9,-1.991002126,-1.46298724,1261.072532
36:00.9,-1.994079409,-1.46298724,1261.072532
36:00.9,-1.994079409,-1.46479028,1260.348088
36:00.9,-1.994079409,-1.46479028,1261.072532
36:00.9,-1.994079409,-1.46479028,1261.072532
